Transaction_ID,Date,Time,Merchant_ID,Customer_ID,Device_ID,Transaction_Type,Payment_Gateway,Transaction_City,Transaction_State,IP_Address,Transaction_Status,Device_OS,Transaction_Frequency,Merchant_Category,Transaction_Channel,Transaction_Amount_Deviation,Days_Since_Last_Transaction,amount,fraud
T00000001,23/10/23,4:36:16 AM,8bbd74bb-c7ab-4d9a-8cae-29bf6777bba4,bbd15462-34e8-4d84-b38d-c0a48ca151a5,35c93295-5585-40ec-9ba8-2ff3a3ed9246,Purchase,ICICI UPI,Mango,Uttarakhand,72.74.226.105,Pending,Windows,2,Travel bookings,Online,68.25,24,4.55,0
T00000002,31/05/23,4:36:16 AM,1f0efdbe-f18c-4668-aba3-b7674d5e0100,d93133d4-b039-4d19-8060-b8b3d8de4c0d,8e40bf94-19f0-4a27-a154-05ebfd14c5aa,Bank Transfer,HDFC,Gorakhpur,Himachal Pradesh,111.214.109.143,Pending,Windows,2,Financial services and Taxes,Mobile,-57.75,17,39.68,0
T00000003,19/01/24,4:36:16 AM,fb552d01-e704-440e-b29b-6c152ed37998,8d610bff-9b2b-41d5-86f7-df78c5aee909,b8f5781f-2b91-4c41-a1bf-25d69ba32ec1,Bill Payment,CRED,Khammam,Andhra Pradesh,111.0.26.121,Pending,Android,3,Financial services and Taxes,In-store,-46.95,20,26.89,0
T00000004,18/09/23,5:07:24 AM,43001ee3-c6ca-4033-89e9-9502b3072bb7,63d01a4c-3e68-49c6-a54c-e7ea14cfba44,725a2ef7-5e4b-4a20-b486-a647d9005cdf,Other,HDFC,Nanded,Odisha,166.88.212.66,Completed,iOS,0,Utilities,Mobile,-96.64,18,17.25,0
T00000005,18/08/23,12:16:28 PM,df1c84af-fa42-4ce7-99ea-5a9fd657361e,4c2613de-9129-4ab2-a2b4-dd6e008a487d,10dfb43d-6fb5-4e9f-9159-ffaf691b67c5,Other,HDFC,Machilipatnam,West Bengal,20.34.147.155,Failed,Windows,2,Other,Online,36.14,5,35.72,0
T00000006,02/06/23,11:20:28 AM,0cef6f2f-70ba-4c37-b3a8-c75ceecbc5a7,eb178ae7-c769-42dc-9193-320cb4d344b9,bf31b068-0acf-4149-8a00-367e20bb069d,Bank Transfer,IDFC UPI,Panchkula,Punjab,203.102.174.205,Completed,MacOS,1,Utilities,Online,33.72,12,25.81,0
T00000007,26/01/24,4:34:52 AM,fcfb8fe4-83b8-4bb1-ae7d-e7f6baf51f3c,be9ebbef-9479-4c6c-823d-e5b5d3eca880,73b33bcb-f822-499e-bd4e-88a41b957a3e,Subscription,CRED,Indore,Mizoram,97.44.34.201,Failed,MacOS,20,Donations and Devotion,Mobile,-23.5,26,9.1,0
T00000008,22/08/23,5:26:11 AM,6de16768-4727-45c8-8f1f-4c2c6ba356bb,80c3ec51-84b7-4086-8362-e55a59dadae3,c508a8f5-0eaf-4e02-95a2-517e08b3fc8c,Other,Paytm,Kochi,Gujarat,76.116.0.35,Pending,Windows,1,More Services,Online,79.76,17,21.17,0
T00000009,02/02/24,3:04:27 AM,b8dca4c7-d1e7-4610-8f3d-39b7b173085e,87e78be3-7312-4d5d-af1d-7c6c1abde221,91287cb3-a05f-43c3-81e9-fdedbae135b2,Refund,PhonePe,Belgaum,Sikkim,65.84.88.129,Pending,Windows,3,Brand Vouchers and OTT,Mobile,-62.84,23,32.4,0
T00000010,25/08/23,9:20:30 AM,d681e61d-7791-475b-88ff-0ab8728aac8a,0386dd0e-78ed-4fda-9c5a-024f97ab9109,63446313-50e5-4806-8ae5-bd4bb235c654,Bill Payment,Paytm,Faridabad,Jharkhand,92.9.60.120,Failed,Android,1,Financial services and Taxes,In-store,-52.06,12,35.4,0
T00000011,04/12/23,11:34:45 AM,f90d1ae2-1ed4-45c5-a0fb-89d1e6243b42,20f16626-99ff-46fa-97c9-7a388afc92bf,ee868f0e-b86a-4f2b-95fe-27c399e1db40,Other,Google Pay,Tumkur,Tamil Nadu,120.167.136.198,Completed,MacOS,20,Purchases,Online,-93.76,14,14.95,0
T00000012,05/05/23,2:56:25 AM,a3e86d6e-952c-4fb2-9053-44ba13b07e7d,893f00f8-4455-4233-9e4d-6429ad442796,bbf90a6b-f331-464e-bc3c-eb3bdbc54089,Investment,HDFC,Karimnagar,Gujarat,39.160.205.7,Pending,Windows,5,More Services,Mobile,-23.25,16,1.51,0
